wallet_id,risk_score,transaction_count,total_borrowed,total_supplied,net_worth,unique_tokens,liquidation_count,max_leverage,position_concentration,leverage_risk,liquidity_risk,activity_risk,diversification_risk,liquidation_risk,behavioral_risk
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x58d68d4bcf9725e40353379cec92b90332561683,767,11,0.0,28.4,28.4,2,0,0,1.0,0.0,0.868,0.93,0.62,0.0,0.796
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x612a3500559be7be7703de6dc397afb541a16f7f,552,38,0.0,22600.47,22600.47,6,0,0,0.55,0.0,0.364,0.37,0.26,0.0,1.0
0x623af911f493747c216ad389c7805a37019c662d,810,10,0.0,0.0,0.0,5,0,0,1.0,0.3,0.88,0.93,0.32,0.0,1.0
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,751,6,0.0,2.0,2.0,3,0,0,0.533,0.0,0.741,0.93,0.52,0.0,0.984
0x6d69ca3711e504658977367e13c300ab198379f1,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,809,11,0.0,0.0,0.0,4,0,0,1.0,0.3,0.868,0.79,0.46,0.0,1.0
0x70c1864282599a762c674dd9d567b37e13bce755,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,454,412,0.0,7583.46,7583.46,12,0,0,0.636,0.0,0.254,0.32,0.02,0.0,1.0
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0x767055590c73b7d2aaa6219da13807c493f91a20,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,825,3,0.0,0.0,0.0,2,0,0,1.0,0.3,0.964,0.615,0.702,0.0,1.0
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,775,7,0.0,0.0,0.0,4,0,0,1.0,0.3,0.916,0.37,0.46,0.0,1.0
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,770,9,0.0,26.28,26.28,2,0,0,1.0,0.0,0.892,0.79,0.62,0.0,1.0
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,778,4,0.0,24.63,24.63,2,0,0,1.0,0.0,0.952,0.79,0.62,0.0,1.0
0x7de76a449cf60ea3e111ff18b28e516d89532152,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,780,8,0.0,0.0,0.0,3,0,0,1.0,0.3,0.904,0.37,0.52,0.0,1.0
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x83ea74c67d393c6894c34c464657bda2183a2f1a,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,782,6,0.0,38.82,38.82,2,0,0,1.0,0.0,0.928,0.863,0.62,0.0,1.0
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
